map,name,rating,no of rating,type,address,Latitude,Longitude
https://www.google.com/maps/place/Coffee+By+Di+Bella+Mahim/data=!4m7!3m6!1s0x3be7cece5ff60ff5:0xae655ca2da0f337f!8m2!3d19.0315287!4d72.8388039!16s%2Fg%2F1263w0vdl!19sChIJ9Q_2X87O5zsRfzMP2qJcZa4?authuser=0&hl=en&rclk=1,Coffee By Di Bella Mahim,4.2,"-4,045",Coffee,"West Wind Apartment, West Wind Building, Cadell Road, Mahim West, Kataria Colony, Shivaji Park, Swatantryaveer Savarkar Rd, above Cafe Di Bella, near Hinduja Hospitals",19.0315287,72.8388039
https://www.google.com/maps/place/Blue+Tokai+Coffee+Roasters+%7C+Kala+Ghoda/data=!4m7!3m6!1s0x3be7d1d4e0ebdf8b:0x175df095b70c2b6f!8m2!3d18.9295533!4d72.8330797!16s%2Fg%2F11j1dlf6_b!19sChIJi9_r4NTR5zsRbysMt5XwXRc?authuser=0&hl=en&rclk=1,Blue Tokai Coffee Roasters | Kala Ghoda,4.5,-399,Coffee,"Ground Floor, Plot-17/19, Wadia Building, Dalal St, opp. Phiroze Jeejeebhoy Towers",18.9295533,72.8330797
https://www.google.com/maps/place/Koinonia+Coffee+Roasters/data=!4m7!3m6!1s0x3be7d1c375577a21:0x8e333115dbb873b8!8m2!3d18.928514!4d72.83239!16s%2Fg%2F11gdgx2tsr!19sChIJIXpXdcPR5zsRuHO42xUxM44?authuser=0&hl=en&rclk=1,Koinonia Coffee Roasters,4.5,-4,Coffee,"@La Folie Du Chocolat, No. 16, Commerce House, Kala Ghoda, Fort",18.928514,72.83239
https://www.google.com/maps/place/Royal+Coffee/data=!4m7!3m6!1s0x3be7ce17abfe3c2f:0x899397a2a6dd13bf!8m2!3d18.9562776!4d72.8252826!16s%2Fg%2F11stv2w20p!19sChIJLzz-qxfO5zsRvxPdpqKXk4k?authuser=0&hl=en&rclk=1,Royal Coffee,,,Coffee,"25/33, Ardeshir Dadi St., near Alankar Cinema",18.9562776,72.8252826
https://www.google.com/maps/place/Peet%27s+Hot/data=!4m7!3m6!1s0x3be7c96b06847dc1:0x4593a75c725750fc!8m2!3d19.0688116!4d72.8703039!16s%2Fg%2F11t_k5xm8q!19sChIJwX2EBmvJ5zsR_FBXclynk0U?authuser=0&hl=en&rclk=1,Peet's Hot,,,Coffee,3V9C+G4F,19.0688116,72.8703039
https://www.google.com/maps/place/Tea+Post+-+A+Place+to+Talk/data=!4m7!3m6!1s0x3be7cfe501ac1d57:0x83a30ed708e489c2!8m2!3d19.0330395!4d72.8389675!16s%2Fg%2F11t_g_fyg3!19sChIJVx2sAeXP5zsRwonkCNcOo4M?authuser=0&hl=en&rclk=1,Tea Post - A Place to Talk,4,-2,Coffee,"8-12, Swatantryaveer Savarkar Rd",19.0330395,72.8389675
https://www.google.com/maps/place/Sudan+sahu/data=!4m7!3m6!1s0x3be7c9e3a57ce8ed:0x5257d50eaa403845!8m2!3d19.072208!4d72.884379!16s%2Fg%2F11s0x7jtsy!19sChIJ7eh8pePJ5zsRRThAqg7VV1I?authuser=0&hl=en&rclk=1,Sudan sahu,,,Coffee,3VCM+VQJ,19.072208,72.884379
https://www.google.com/maps/place/Kaiyi+tea+shop/data=!4m7!3m6!1s0x3be7c999ce479011:0xa45ead67c2aabd5a!8m2!3d19.0764122!4d72.8839266!16s%2Fg%2F11rk9zb5g1!19sChIJEZBHzpnJ5zsRWr2qwmetXqQ?authuser=0&hl=en&rclk=1,Kaiyi tea shop,2,-1,Coffee,"Room no.17, Bilal chawl, Hall Village Rd, near Good Luck Dairy",19.0764122,72.8839266
https://www.google.com/maps/place/V+j+cafe/data=!4m7!3m6!1s0x3be7cf288bdb7259:0xa19df8306158bc85!8m2!3d19.0266727!4d72.8545529!16s%2Fg%2F11g6p5dn79!19sChIJWXLbiyjP5zsRhbxYYTD4naE?authuser=0&hl=en&rclk=1,V j cafe,3.9,-550,other,"471/c, Kings Cir",19.0266727,72.8545529
https://www.google.com/maps/place/Chaayos+-+Lodha+Wadala/data=!4m7!3m6!1s0x3be7c9241721c49f:0xc73377484808c02e!8m2!3d19.0398233!4d72.8793197!16s%2Fg%2F11stbkrzmn!19sChIJn8QhFyTJ5zsRLsAISEh3M8c?authuser=0&hl=en&rclk=1,Chaayos - Lodha Wadala,4.9,-26,other,"Ground floor, Off, Eastern freeway, near Wadala Truck terminal",19.0398233,72.8793197
